plume_id,datetime,lat,lon,matched_safe,matched_sensing_time,matched_jp2
GAO20191019t182124p0000-A,2019-10-19T18:21:24+00:00,31.186819,-101.6578,S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE,2019-10-20T17:23:41+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE/T14RKV_20191020T172341_B11_20m.jp2
GAO20191019t182124p0000-B,2019-10-19T18:21:24+00:00,31.20985,-101.37229,S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE,2019-10-20T17:23:41+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE/T14RKV_20191020T172341_B11_20m.jp2
GAO20191019t182124p0000-C,2019-10-19T18:21:24+00:00,31.210173,-101.36736,S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE,2019-10-20T17:23:41+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE/T14RKV_20191020T172341_B11_20m.jp2
GAO20191019t184202p0000-A,2019-10-19T18:42:02+00:00,31.165368,-101.78546,S2A_MSIL2A_20191020T172341_N0500_R012_T13RGQ_20230615T204009.SAFE,2019-10-20T17:23:41+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2A_MSIL2A_20191020T172341_N0500_R012_T13RGQ_20230615T204009.SAFE/T13RGQ_20191020T172341_B11_20m.jp2
GAO20191019t184202p0000-B,2019-10-19T18:42:02+00:00,31.176789,-101.35223,S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE,2019-10-20T17:23:41+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE/T14RKV_20191020T172341_B11_20m.jp2
GAO20191019t185547p0000-A,2019-10-19T18:55:47+00:00,31.164131,-101.78475,S2A_MSIL2A_20191020T172341_N0500_R012_T13RGQ_20230615T204009.SAFE,2019-10-20T17:23:41+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2A_MSIL2A_20191020T172341_N0500_R012_T13RGQ_20230615T204009.SAFE/T13RGQ_20191020T172341_B11_20m.jp2
GAO20191019t185547p0000-B,2019-10-19T18:55:47+00:00,31.1505342,-101.84786,S2A_MSIL2A_20191020T172341_N0500_R012_T13RGQ_20230615T204009.SAFE,2019-10-20T17:23:41+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2A_MSIL2A_20191020T172341_N0500_R012_T13RGQ_20230615T204009.SAFE/T13RGQ_20191020T172341_B11_20m.jp2
GAO20191019t191619p0000-A,2019-10-19T19:16:19+00:00,31.132299,-101.41082,S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE,2019-10-20T17:23:41+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE/T14RKV_20191020T172341_B11_20m.jp2
GAO20191019t191619p0000-B,2019-10-19T19:16:19+00:00,31.124999,-101.74229,S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE,2019-10-20T17:23:41+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE/T14RKV_20191020T172341_B11_20m.jp2
GAO20191020t151740p0000-A,2019-10-20T15:17:40+00:00,31.087769,-101.34025,S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE,2019-10-20T17:23:41+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE/T14RKV_20191020T172341_B11_20m.jp2
GAO20191020t153619p0000-A,2019-10-20T15:36:19+00:00,31.058043,-101.86319,S2A_MSIL2A_20191020T172341_N0500_R012_T13RGQ_20230615T204009.SAFE,2019-10-20T17:23:41+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2A_MSIL2A_20191020T172341_N0500_R012_T13RGQ_20230615T204009.SAFE/T13RGQ_20191020T172341_B11_20m.jp2
GAO20191020t153619p0000-B,2019-10-20T15:36:19+00:00,31.062984,-101.50541,S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE,2019-10-20T17:23:41+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE/T14RKV_20191020T172341_B11_20m.jp2
GAO20191020t153619p0000-C,2019-10-20T15:36:19+00:00,31.0748638,-101.39618,S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE,2019-10-20T17:23:41+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE/T14RKV_20191020T172341_B11_20m.jp2
GAO20191020t153619p0000-D,2019-10-20T15:36:19+00:00,31.087929,-101.34022,S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE,2019-10-20T17:23:41+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE/T14RKV_20191020T172341_B11_20m.jp2
GAO20191020t155133p0000-A,2019-10-20T15:51:33+00:00,31.0629493,-101.50558,S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE,2019-10-20T17:23:41+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE/T14RKV_20191020T172341_B11_20m.jp2
GAO20191020t161013p0000-A,2019-10-20T16:10:13+00:00,31.0243397,-102.24257,S2A_MSIL2A_20191020T172341_N0500_R012_T13RGQ_20230615T204009.SAFE,2019-10-20T17:23:41+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2A_MSIL2A_20191020T172341_N0500_R012_T13RGQ_20230615T204009.SAFE/T13RGQ_20191020T172341_B11_20m.jp2
GAO20191020t161013p0000-B,2019-10-20T16:10:13+00:00,31.0234005,-102.24419,S2A_MSIL2A_20191020T172341_N0500_R012_T13RGQ_20230615T204009.SAFE,2019-10-20T17:23:41+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2A_MSIL2A_20191020T172341_N0500_R012_T13RGQ_20230615T204009.SAFE/T13RGQ_20191020T172341_B11_20m.jp2
GAO20191020t163829p0000-A,2019-10-20T16:38:29+00:00,31.845004,-101.7723,S2A_MSIL2A_20191020T172341_N0500_R012_T13SGR_20230615T204009.SAFE,2019-10-20T17:23:41+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2A_MSIL2A_20191020T172341_N0500_R012_T13SGR_20230615T204009.SAFE/T13SGR_20191020T172341_B11_20m.jp2
GAO20191020t163829p0000-B,2019-10-20T16:38:29+00:00,31.8299163,-101.80811,S2A_MSIL2A_20191020T172341_N0500_R012_T13SGR_20230615T204009.SAFE,2019-10-20T17:23:41+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2A_MSIL2A_20191020T172341_N0500_R012_T13SGR_20230615T204009.SAFE/T13SGR_20191020T172341_B11_20m.jp2
