plume_id,lat,lon,matched_safe,tile,sensing_time,matched_jp2,out_tif,missing_bands
tan20250827t182223c99s4001-AD,31.86691070140617,-104.06178481096866,S2B_MSIL2A_20250827T172859_N0511_R055_T13SER_20250827T210625.SAFE,T13SER,20250827T172859,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20250827T172859_N0511_R055_T13SER_20250827T210625.SAFE/T13SER_20250827T172859_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250827t182223c99s4001-AD/s2_recut_12x512_georef.tif,"B09,B10"
tan20250827t182223c99s4001-AH,32.00701968210802,-104.04260584925473,S2B_MSIL2A_20250827T172859_N0511_R055_T13SER_20250827T210625.SAFE,T13SER,20250827T172859,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20250827T172859_N0511_R055_T13SER_20250827T210625.SAFE/T13SER_20250827T172859_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250827t182223c99s4001-AH/s2_recut_12x512_georef.tif,"B09,B10"
tan20250827t182223c99s4001-AK,32.16131148252002,-103.82783443842834,S2B_MSIL2A_20250827T172859_N0511_R055_T13SFR_20250827T210625.SAFE,T13SFR,20250827T172859,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20250827T172859_N0511_R055_T13SFR_20250827T210625.SAFE/T13SFR_20250827T172859_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250827t182223c99s4001-AK/s2_recut_12x512_georef.tif,"B09,B10"
tan20250827t182223c99s4001-AM,31.66733832288523,-104.08597816836988,S2B_MSIL2A_20250827T172859_N0511_R055_T13SER_20250827T210625.SAFE,T13SER,20250827T172859,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20250827T172859_N0511_R055_T13SER_20250827T210625.SAFE/T13SER_20250827T172859_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250827t182223c99s4001-AM/s2_recut_12x512_georef.tif,"B09,B10"
tan20250827t182223c99s4001-AN,31.61219627797277,-104.1374754537266,S2B_MSIL2A_20250827T172859_N0511_R055_T13SER_20250827T210625.SAFE,T13SER,20250827T172859,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20250827T172859_N0511_R055_T13SER_20250827T210625.SAFE/T13SER_20250827T172859_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250827t182223c99s4001-AN/s2_recut_12x512_georef.tif,"B09,B10"
tan20250827t182223c99s4001-B,31.797413705786127,-103.9305610189243,S2B_MSIL2A_20250827T172859_N0511_R055_T13SER_20250827T210625.SAFE,T13SER,20250827T172859,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20250827T172859_N0511_R055_T13SER_20250827T210625.SAFE/T13SER_20250827T172859_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250827t182223c99s4001-B/s2_recut_12x512_georef.tif,"B09,B10"
tan20250827t182223c99s4001-C,31.7929997307928,-103.92800345211374,S2B_MSIL2A_20250827T172859_N0511_R055_T13SER_20250827T210625.SAFE,T13SER,20250827T172859,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20250827T172859_N0511_R055_T13SER_20250827T210625.SAFE/T13SER_20250827T172859_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250827t182223c99s4001-C/s2_recut_12x512_georef.tif,"B09,B10"
tan20250827t182223c99s4001-D,31.769852796014177,-103.95677961406594,S2B_MSIL2A_20250827T172859_N0511_R055_T13SER_20250827T210625.SAFE,T13SER,20250827T172859,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20250827T172859_N0511_R055_T13SER_20250827T210625.SAFE/T13SER_20250827T172859_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250827t182223c99s4001-D/s2_recut_12x512_georef.tif,"B09,B10"
tan20250827t182223c99s4001-I,31.868885796563305,-103.89468119913784,S2B_MSIL2A_20250827T172859_N0511_R055_T13SER_20250827T210625.SAFE,T13SER,20250827T172859,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20250827T172859_N0511_R055_T13SER_20250827T210625.SAFE/T13SER_20250827T172859_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250827t182223c99s4001-I/s2_recut_12x512_georef.tif,"B09,B10"
tan20250827t182223c99s4001-J,31.82007717641436,-103.95752793587376,S2B_MSIL2A_20250827T172859_N0511_R055_T13SER_20250827T210625.SAFE,T13SER,20250827T172859,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20250827T172859_N0511_R055_T13SER_20250827T210625.SAFE/T13SER_20250827T172859_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250827t182223c99s4001-J/s2_recut_12x512_georef.tif,"B09,B10"
tan20250827t182223c99s4001-K,31.943181462863024,-104.06380482910868,S2B_MSIL2A_20250827T172859_N0511_R055_T13SER_20250827T210625.SAFE,T13SER,20250827T172859,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20250827T172859_N0511_R055_T13SER_20250827T210625.SAFE/T13SER_20250827T172859_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250827t182223c99s4001-K/s2_recut_12x512_georef.tif,"B09,B10"
