wavelength,b1,b2,b3,b4,b5,b6,b7
878.99999826837,0.0,0.0,0.0,0.0,0.496752,0.0,0.0
879.9999971840001,0.0,0.0,0.0,0.0,0.319203,0.0,0.0
880.9999998414199,0.0,0.0,0.0,0.0,0.19073,0.0,0.0
881.9999985006,0.0,0.0,0.0,0.0,0.111399,0.0,0.0
883.00000098013,0.0,0.0,0.0,0.0,0.064628,0.0,0.0
883.99999957568,0.0,0.0,0.0,0.0,0.036815,0.0,0.0
885.0000022125,0.0,0.0,0.0,0.0,0.021928,0.0,0.0
886.0000012226801,0.0,0.0,0.0,0.0,0.013213,0.0,0.0
886.99999677132,0.0,0.0,0.0,0.0,0.007643,0.0,0.0
887.99999694528,0.0,0.0,0.0,0.0,0.004905,0.0,0.0
889.00000203581,0.0,0.0,0.0,0.0,0.003116,0.0,0.0
889.9999965290001,0.0,0.0,0.0,0.0,0.001999,0.0,0.0
890.99999656074,0.0,0.0,0.0,0.0,0.001322,0.0,0.0
892.0000025332799,0.0,0.0,0.0,0.0,0.000883,0.0,0.0
892.99999893733,0.0,0.0,0.0,0.0,0.000594,0.0,0.0
894.00000212772,0.0,0.0,0.0,0.0,0.000412,0.0,0.0
894.999996599,0.0,0.0,0.0,0.0,0.000327,0.0,0.0
895.99999885312,0.0,0.0,0.0,0.0,0.00027,0.0,0.0
897.0000014351999,0.0,0.0,0.0,0.0,0.000212,0.0,0.0
897.999996857,0.0,0.0,0.0,0.0,0.000155,0.0,0.0
899.00000184295,0.0,0.0,0.0,0.0,9.8e-05,0.0,0.0
900.0000009,0.0,0.0,0.0,0.0,7.6e-05,0.0,0.0
1514.99999219775,0.0,0.0,0.0,0.0,0.0,0.001029,0.0
1515.99999278384,0.0,0.0,0.0,0.0,0.0,0.001115,0.0
1517.0000026395799,0.0,0.0,0.0,0.0,0.0,0.00121,0.0
1517.99999614428,0.0,0.0,0.0,0.0,0.0,0.001319,0.0
1518.9999936961499,0.0,0.0,0.0,0.0,0.0,0.001445,0.0
1519.999992704,0.0,0.0,0.0,0.0,0.0,0.00158,0.0
1520.9999905698,0.0,0.0,0.0,0.0,0.0,0.001734,0.0
1522.00000785352,0.0,0.0,0.0,0.0,0.0,0.001923,0.0
1522.99999564422,0.0,0.0,0.0,0.0,0.0,0.002121,0.0
1523.99999768352,0.0,0.0,0.0,0.0,0.0,0.002327,0.0
1525.0000114375,0.0,0.0,0.0,0.0,0.0,0.002577,0.0
1526.00001107876,0.0,0.0,0.0,0.0,0.0,0.00287,0.0
1526.99999396835,0.0,0.0,0.0,0.0,0.0,0.003184,0.0
1528.00000415616,0.0,0.0,0.0,0.0,0.0,0.00355,0.0
1528.99999241616,0.0,0.0,0.0,0.0,0.0,0.003956,0.0
1530.0000029070002,0.0,0.0,0.0,0.0,0.0,0.00442,0.0
1531.00000970654,0.0,0.0,0.0,0.0,0.0,0.004966,0.0
1532.0000102337601,0.0,0.0,0.0,0.0,0.0,0.005527,0.0
1533.00000190092,0.0,0.0,0.0,0.0,0.0,0.006247,0.0
1534.00000564512,0.0,0.0,0.0,0.0,0.0,0.006991,0.0
1534.999995395,0.0,0.0,0.0,0.0,0.0,0.007914,0.0
1535.99999213568,0.0,0.0,0.0,0.0,0.0,0.008788,0.0
1536.99999334479,0.0,0.0,0.0,0.0,0.0,0.009577,0.0
1537.99999649336,0.0,0.0,0.0,0.0,0.0,0.01063,0.0
1538.99999904582,0.0,0.0,0.0,0.0,0.0,0.01208,0.0
1539.99999846,0.0,0.0,0.0,0.0,0.0,0.013637,0.0
1540.9999921871301,0.0,0.0,0.0,0.0,0.0,0.015646,0.0
1542.00000144948,0.0,0.0,0.0,0.0,0.0,0.017733,0.0
1542.99999996914,0.0,0.0,0.0,0.0,0.0,0.02051,0.0
1544.0000090169601,0.0,0.0,0.0,0.0,0.0,0.023353,0.0
1545.00000224025,0.0,0.0,0.0,0.0,0.0,0.027016,0.0
1546.00000095852,0.0,0.0,0.0,0.0,0.0,0.030678,0.0
1547.00000267631,0.0,0.0,0.0,0.0,0.0,0.035855,0.0
1548.00000489168,0.0,0.0,0.0,0.0,0.0,0.041476,0.0
1549.00000509621,0.0,0.0,0.0,0.0,0.0,0.048627,0.0
1550.000000775,0.0,0.0,0.0,0.0,0.0,0.05694,0.0
1550.99998940667,0.0,0.0,0.0,0.0,0.0,0.066557,0.0
1551.9999925504,0.0,0.0,0.0,0.0,0.0,0.077231,0.0
1553.0000077650002,0.0,0.0,0.0,0.0,0.0,0.088892,0.0
1554.00000845376,0.0,0.0,0.0,0.0,0.0,0.10461,0.0
1554.9999920695,0.0,0.0,0.0,0.0,0.0,0.122681,0.0
1556.00000448128,0.0,0.0,0.0,0.0,0.0,0.142529,0.0
1556.99999483076,0.0,0.0,0.0,0.0,0.0,0.167165,0.0
1558.00000909872,0.0,0.0,0.0,0.0,0.0,0.19408,0.0
1558.99999628958,0.0,0.0,0.0,0.0,0.0,0.226914,0.0
1560.000002496,0.0,0.0,0.0,0.0,0.0,0.261056,0.0
1561.00000095221,0.0,0.0,0.0,0.0,0.0,0.300046,0.0
1561.99998915972,0.0,0.0,0.0,0.0,0.0,0.339366,0.0
1562.99998904337,0.0,0.0,0.0,0.0,0.0,0.388409,0.0
1563.99999818576,0.0,0.0,0.0,0.0,0.0,0.438838,0.0
1564.999989671,0.0,0.0,0.0,0.0,0.0,0.495001,0.0
1566.0000100224001,0.0,0.0,0.0,0.0,0.0,0.549538,0.0
1567.0000077879902,0.0,0.0,0.0,0.0,0.0,0.601726,0.0
1568.0000050176,0.0,0.0,0.0,0.0,0.0,0.651512,0.0
1568.99999926257,0.0,0.0,0.0,0.0,0.0,0.699258,0.0
1569.999988068,0.0,0.0,0.0,0.0,0.0,0.742805,0.0
1570.99999365316,0.0,0.0,0.0,0.0,0.0,0.784311,0.0
1571.9999889331202,0.0,0.0,0.0,0.0,0.0,0.816472,0.0
